taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_4	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18003_1	DCA_18019_2	DCA_18021_3	DCA_18021_4	DCA_18024_1	DCA_19001_1	DCA_19014_1	DCA_19023_1	DCA_19026_1	DC_18001_1	DC_18004_1	DC_18005_1	DC_18006_2	DC_18007_1	DC_18008_1	DC_18009_1	DC_18011_1	DC_18012_1	DC_18012_2	DC_18020_2	DC_18022_1	DC_18022_2	DC_18026_1	DC_18029_1	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	3	0	0	29	0	0	27	53	0	0	71	0	0	0	0	5	0	305	0	0	7	0	0	0	0	0	0	0	0	0	0	56	35	9	0	0	0	0	0	0	0	109	0	7	168	186	215	128	39	118	31	14	0	0	0	0	0	145	1760	0.49%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002	0	0	0	0	0	0	0	0	16	53	50	0	0	22	0	12	7	40	0	43	0	0	120	0	0	48	116	28	69	202	76	26	0	0	34	11	195	130	45	11	99	0	0	4	18	19	12	0	0	0	0	0	0	0	0	62	41	0	1609	0.45%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0.4%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__p-251-o5; g__norank_f__p-251-o5	0	0	0	0	0	0	0	0	0	220	54	0	0	0	0	18	0	30	15	13	0	0	61	0	15	0	11	0	81	119	88	48	0	0	0	19	90	0	152	29	100	0	0	1	0	0	0	0	0	0	0	0	62	0	0	0	193	0	1419	0.4%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group	0	0	0	0	0	0	2	0	6	48	45	0	0	0	0	26	16	20	0	21	0	17	55	0	3	18	88	23	24	93	105	71	14	20	14	26	129	141	36	40	45	0	0	0	5	0	17	5	0	0	44	53	45	0	0	28	69	2	1414	0.39%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1	0	0	0	0	2	0	4	0	0	0	31	0	0	12	0	33	35	64	77	0	0	0	77	0	5	0	14	32	88	48	46	95	0	20	0	26	18	115	44	10	53	10	0	14	1	157	27	0	0	0	9	0	50	0	0	0	110	0	1327	0.37%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__unclassified_f__Pseudonocardiaceae	26	29	0	8	20	28	32	15	16	37	23	34	37	38	34	12	46	12	31	19	29	0	12	16	46	34	16	28	13	0	11	12	2	0	122	54	14	43	89	10	9	44	0	0	8	0	0	0	11	11	23	5	37	12	12	27	9	48	1304	0.36%
d__Bacteria; k__norank_d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	0	0	0	341	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	68	0	0	0	0	0	0	0	0	33	208	103	2	37	87	268	23	10	0	0	0	0	0	0	0	1299	0.36%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter	0	0	0	18	0	0	195	20	0	17	0	0	0	38	0	58	8	91	0	0	17	9	12	0	0	11	7	27	0	10	52	84	17	22	0	0	0	0	0	4	59	66	0	19	0	0	49	157	0	0	0	0	0	0	0	0	0	70	1137	0.32%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group	0	0	0	9	0	0	0	0	8	69	5	0	0	0	0	0	7	29	22	10	0	0	37	0	4	0	19	0	50	28	171	36	0	0	0	4	84	7	30	0	25	1	0	0	166	9	29	56	0	2	10	0	78	0	8	0	63	3	1079	0.3%
